preco,area,quartos,banheiros,andares,acesso_rodovia,quarto_hospede,porao,aquecimento_agua,ar_condicionado,vagas_estacionamento,area_preferencial,status_mobilia_sem-mobilia,status_mobilia_semi-mobiliada
6615000,975.4499999999999,3,2,1,1,0,1,0,1,1,1,0,0
6580000,557.4,3,2,4,1,0,0,0,1,0,0,0,1
6510000,349.304,3,1,2,1,0,0,1,0,2,0,0,1
6510000,766.425,3,2,3,1,0,0,0,1,0,0,0,0
6510000,619.643,3,1,3,1,0,1,0,0,0,1,1,0
6475000,367.88399999999996,3,1,1,1,0,1,0,0,2,0,0,1
6475000,688.389,3,1,1,1,1,1,0,1,2,1,1,0
6440000,797.082,5,3,2,1,0,0,0,0,2,0,0,0
6440000,464.5,3,1,2,1,0,0,0,1,0,0,0,1
6419000,627.0749999999999,2,1,1,1,1,1,0,0,2,1,0,0
6405000,445.91999999999996,3,2,4,1,1,0,0,1,0,0,0,0
6300000,668.88,3,2,1,1,0,1,0,1,3,0,0,1
6300000,557.4,4,2,4,1,0,0,0,0,1,0,0,1
6300000,380.89,3,2,3,1,0,0,0,1,2,0,0,1
6300000,836.1,3,1,1,1,0,1,0,0,1,1,0,0
6300000,594.56,3,1,1,1,1,1,0,1,1,1,0,1
6293000,613.14,3,2,3,1,0,0,0,1,0,1,1,0
6265000,557.4,4,1,3,1,1,1,0,0,0,1,1,0
6230000,613.14,3,2,1,1,0,1,0,1,0,1,1,0
6230000,510.95,3,1,3,1,0,0,0,0,1,1,1,0
6195000,510.95,3,2,4,1,1,0,0,1,1,0,0,1
6195000,589.915,3,2,3,1,1,0,0,1,0,0,0,0
6195000,510.95,3,2,1,1,1,1,0,0,2,1,0,0
6160000,418.05,3,1,4,1,0,0,0,1,0,0,1,0
6160000,506.305,4,2,1,1,0,1,0,1,0,1,0,1
6125000,596.418,3,1,3,1,0,1,0,0,0,1,1,0
6107500,300.996,4,1,3,1,0,0,0,0,1,0,0,1
6090000,614.5335,4,2,2,1,1,0,1,0,1,0,0,1
6090000,613.14,3,1,1,1,1,1,0,0,2,1,0,1
6090000,777.7588,3,1,3,1,0,0,0,1,2,0,1,0
6083000,399.46999999999997,6,2,2,1,0,0,0,0,0,0,0,0
6083000,893.698,3,1,1,1,0,1,0,0,2,1,0,0
6020000,631.72,2,1,1,1,1,1,0,0,2,0,0,0
6020000,743.1999999999999,3,1,1,1,1,1,0,1,2,1,0,1
6020000,641.01,3,2,1,1,1,1,0,0,0,1,1,0
5950000,343.72999999999996,4,1,2,1,1,0,0,1,0,0,0,0
5950000,596.418,3,1,1,1,0,1,0,1,0,1,0,0
5950000,652.158,3,1,1,1,0,1,0,1,2,1,0,1
5950000,607.566,3,1,1,1,1,1,0,0,2,1,0,0
5950000,671.7599,3,1,2,1,1,1,0,1,0,1,0,1
5950000,580.9966,4,2,1,1,0,1,0,0,1,1,0,1
5950000,680.028,4,2,2,1,0,0,0,0,0,0,0,0
5950000,606.1725,3,2,4,1,0,0,0,0,1,0,0,0
5943000,1449.24,3,1,1,1,0,0,0,1,2,0,0,1
5880000,665.164,3,1,1,1,0,1,0,0,2,1,1,0
5880000,603.85,3,2,3,1,0,0,0,1,0,0,1,0
5873000,510.95,3,1,3,1,1,0,0,1,1,0,0,0
5873000,1064.634,3,1,3,1,0,0,0,0,2,1,0,1
5866000,445.91999999999996,3,1,1,1,1,1,0,0,0,0,1,0
5810000,541.4212,4,1,4,1,1,0,0,0,0,0,0,1
5810000,483.08,3,1,3,1,0,0,0,1,0,0,0,1
5810000,445.91999999999996,3,1,3,1,0,0,0,1,0,0,1,0
5803000,650.3,3,1,1,1,0,1,0,0,2,1,0,1
5775000,557.4,3,2,4,1,0,0,0,1,0,0,1,0
5740000,501.65999999999997,4,2,2,1,0,0,0,1,2,0,1,0
5740000,431.056,4,1,2,1,0,0,0,0,1,0,0,1
5740000,464.5,3,1,3,1,0,0,0,1,0,0,0,1
5740000,590.8439999999999,3,1,1,1,1,1,0,1,2,1,0,0
5740000,538.8199999999999,3,2,4,1,0,0,0,1,0,0,1,0
5652500,618.7139999999999,4,2,2,1,1,1,0,0,1,1,0,1
5600000,975.4499999999999,4,2,2,1,0,0,0,0,1,0,0,1
5600000,445.91999999999996,5,2,3,0,0,1,1,0,0,0,1,0
5600000,436.63,4,1,2,1,1,1,0,1,1,0,0,0
5600000,464.5,3,1,4,1,0,0,0,0,0,0,0,0
5600000,975.4499999999999,2,1,1,1,0,0,0,0,1,0,0,1
5600000,510.95,3,2,2,1,0,0,0,0,1,0,0,1
5600000,590.8439999999999,3,1,3,1,0,0,0,0,0,1,0,1
5600000,613.14,4,2,1,1,0,1,0,0,0,1,0,1
5600000,477.13439999999997,3,1,2,1,1,1,0,1,0,1,1,0
5565000,408.76,4,1,2,1,0,0,0,1,2,1,0,1
5565000,501.65999999999997,5,1,2,1,1,1,0,1,0,1,0,0
5530000,306.57,3,3,2,1,0,1,0,0,0,0,0,1
5530000,339.085,3,2,2,1,0,0,0,0,2,0,0,1
5530000,566.6899999999999,3,2,1,1,0,1,0,0,2,1,0,0
5523000,641.01,3,1,1,1,1,1,0,0,0,1,0,1
5495000,261.6993,4,2,2,0,1,1,0,0,1,0,0,0
5495000,741.342,3,1,1,1,0,0,0,0,2,0,0,1
5460000,292.635,3,2,1,1,1,1,0,1,0,0,0,0
5460000,576.909,4,1,4,1,1,0,0,1,0,0,0,0
5460000,566.6899999999999,3,1,3,1,1,0,0,1,0,1,0,1
5460000,613.14,4,2,2,1,1,1,0,0,0,1,0,1
5425000,634.0425,3,1,1,1,1,1,0,1,0,1,0,1
5390000,623.3589999999999,3,2,2,1,1,1,0,0,1,1,0,0
5383000,599.2049999999999,3,2,1,1,1,1,1,0,0,0,1,0
5320000,724.62,3,1,1,1,0,1,0,1,2,1,1,0
5285000,427.34,2,2,1,1,0,0,0,1,2,0,0,1
5250000,395.75399999999996,4,1,2,1,0,1,0,1,0,0,0,0
5250000,607.566,4,2,2,0,0,0,0,1,0,0,0,1
5250000,510.95,3,2,1,1,0,1,0,0,0,0,0,1
5250000,953.9901,3,1,1,1,0,0,0,0,1,1,0,1
5250000,780.36,3,1,2,1,1,1,0,1,2,1,1,0
5250000,492.37,4,2,1,1,0,0,0,1,0,1,1,0
5250000,353.02,3,1,2,1,1,1,0,0,1,1,1,0
5250000,910.42,4,2,2,1,1,0,0,0,2,0,0,1
5250000,791.5079999999999,3,1,1,1,0,0,0,1,2,0,0,0
5243000,562.045,3,1,1,1,0,1,0,0,0,1,0,1
5229000,658.1965,3,1,1,1,1,1,0,0,2,1,0,1
5215000,295.42199999999997,3,2,2,1,0,0,0,0,2,0,0,1
5215000,418.05,4,2,1,0,0,1,0,1,2,0,0,1
5215000,668.88,3,1,2,1,1,1,0,0,1,1,0,0
5145000,316.789,3,1,2,0,0,0,0,1,0,0,0,1
5145000,741.342,3,1,1,1,0,0,0,0,1,1,0,1
5110000,278.7,3,2,2,1,1,1,0,0,0,0,0,0
5110000,278.7,3,1,2,1,0,1,0,0,0,0,1,0
5110000,1059.989,2,1,2,1,0,0,0,0,0,1,0,0
5110000,566.6899999999999,3,1,1,1,0,1,0,1,0,1,0,1
5075000,531.388,2,1,2,1,0,0,0,1,0,1,1,0
5040000,328.866,2,1,1,0,1,1,0,0,0,0,0,1
5040000,706.04,4,1,2,1,0,0,0,1,2,0,0,0
5040000,994.03,3,1,2,1,1,1,0,0,0,0,0,1
5040000,613.14,3,1,1,1,1,1,0,0,0,1,0,0
5033000,445.91999999999996,2,1,1,1,1,1,0,0,0,0,0,1
5005000,757.135,3,2,1,1,1,1,0,0,0,0,0,1
4970000,409.68899999999996,4,3,2,1,0,1,0,0,2,0,0,1
4970000,714.0294,3,1,1,1,1,1,1,0,0,0,0,1
4956000,260.12,3,2,2,0,0,1,0,1,1,0,0,1
4935000,552.5692,3,1,2,1,0,0,0,1,0,0,0,1
4907000,390.18,3,1,2,1,0,0,0,0,1,0,0,0
4900000,419.90799999999996,3,1,2,1,0,1,0,1,0,0,0,1
4900000,380.4255,3,1,2,0,1,1,0,1,0,0,0,1
4900000,382.748,2,1,1,1,0,1,0,0,1,0,0,1
4900000,501.65999999999997,4,1,2,1,0,0,0,0,0,0,0,1
4900000,443.133,3,1,1,1,1,1,0,0,0,0,0,1
4900000,585.27,3,1,1,1,0,0,0,1,2,0,0,1
4900000,538.8199999999999,2,1,1,1,1,1,0,1,0,0,0,1
4900000,278.7,3,1,2,1,0,1,0,1,0,0,0,1
4900000,275.913,3,1,3,1,0,0,0,0,0,0,0,1
4900000,624.288,3,1,1,1,0,0,0,0,0,0,1,0
4900000,431.61339999999996,3,1,2,1,1,1,0,0,2,0,0,1
4900000,1198.4099999999999,3,1,1,1,0,0,0,0,2,0,0,0
4893000,317.71799999999996,4,2,2,1,0,1,0,1,2,0,0,1
4893000,464.03549999999996,4,2,1,1,0,1,0,0,0,0,0,1
4865000,404.115,2,1,1,1,0,1,0,0,0,0,1,0
4830000,386.464,3,1,3,1,0,0,0,0,0,0,1,0
4830000,561.116,3,1,1,1,0,0,0,0,2,1,0,1
4830000,637.4798,3,1,2,1,0,0,0,1,2,1,0,0
4830000,447.3135,2,1,1,1,0,0,0,1,0,1,0,1
4795000,650.3,3,1,2,1,0,1,0,0,0,0,1,0
4795000,752.49,4,1,4,1,0,1,0,1,2,0,0,1
4767000,317.71799999999996,4,2,2,1,0,0,0,0,0,0,0,1
4760000,851.5214,2,1,1,1,0,1,0,1,2,0,0,1
4760000,587.2209,3,1,2,1,0,1,0,1,1,0,0,0
4760000,951.2959999999999,2,1,1,1,0,0,0,1,2,1,1,0
4753000,598.276,2,1,1,1,0,0,0,1,3,0,0,1
4690000,480.293,3,1,4,1,0,0,0,1,0,0,0,1
4690000,557.4,2,1,1,1,0,1,0,1,1,0,0,0
4690000,337.227,3,1,2,1,0,0,0,0,2,0,0,1
4690000,898.0643,4,2,2,1,1,1,0,0,1,0,0,1
4690000,501.65999999999997,2,1,2,1,0,0,0,0,0,1,0,1
4690000,401.328,3,1,1,1,0,0,0,0,0,1,0,1
4655000,347.9105,3,1,2,1,0,1,0,0,0,0,0,0
4620000,386.464,3,1,1,1,1,1,0,1,0,0,1,0
4620000,360.452,3,2,2,1,0,1,0,0,2,0,0,1
4620000,527.672,3,1,2,1,1,0,0,1,1,0,0,1
4620000,266.623,2,1,2,1,1,1,0,0,0,1,0,1
4620000,465.429,3,1,2,1,0,1,0,0,0,0,0,1
4613000,418.979,4,2,2,1,0,1,0,0,0,0,0,1
4585000,371.59999999999997,3,1,2,1,0,0,0,0,1,0,0,0
4585000,356.736,3,1,2,1,0,0,0,0,1,1,0,1
4550000,349.304,3,1,1,1,0,0,0,0,2,0,0,1
4550000,338.156,3,1,2,1,0,0,0,1,0,0,0,0
4550000,236.89499999999998,3,1,2,1,0,1,0,0,0,0,0,0
4550000,494.228,3,1,2,1,1,1,0,0,0,1,0,1
4550000,497.94399999999996,3,1,2,1,0,0,0,0,2,1,1,0
4550000,327.008,3,1,1,1,0,0,0,0,0,1,0,1
4550000,780.36,4,1,4,1,0,0,0,0,3,0,1,0
4543000,380.89,2,2,1,1,1,1,0,0,0,0,0,1
4543000,463.57099999999997,4,2,2,1,1,1,0,0,0,1,0,0
4515000,326.079,3,1,3,1,0,0,0,0,0,0,0,1
4515000,320.505,3,1,2,1,0,1,0,0,1,0,0,1
4515000,915.9939999999999,3,1,1,1,0,0,0,0,0,0,0,1
4515000,327.008,2,1,2,1,0,0,0,0,0,1,0,0
4480000,418.979,4,1,2,1,0,0,0,1,2,0,0,1
4480000,546.7165,2,1,1,1,0,0,0,1,1,0,1,0
4480000,371.59999999999997,3,1,2,1,0,0,0,0,2,0,0,0
4480000,766.425,3,1,1,1,0,0,0,0,0,0,0,0
4480000,375.316,3,1,2,1,0,0,0,0,1,0,0,1
4473000,590.8439999999999,2,1,1,1,0,1,0,1,1,0,0,0
4473000,293.7498,3,1,2,1,0,0,0,1,1,0,0,0
4473000,326.079,3,1,2,1,0,0,0,0,0,0,0,1
4445000,348.375,2,1,1,1,1,1,0,0,0,0,0,1
4410000,368.62719999999996,3,1,2,0,0,0,0,0,0,0,0,1
4410000,455.21,2,1,2,1,0,1,0,0,0,0,0,1
4403000,267.55199999999996,3,1,2,1,0,0,0,0,0,1,0,1
4403000,453.352,3,1,1,1,0,0,0,0,2,1,1,0
4403000,457.068,3,1,2,1,0,0,0,0,1,0,0,1
4382000,459.85499999999996,4,1,2,1,0,0,0,1,0,0,0,1
4375000,362.31,3,1,2,1,0,0,0,0,0,0,1,0
4340000,418.05,3,2,3,1,0,0,1,0,1,0,0,0
4340000,176.9745,5,1,2,0,0,1,0,0,0,0,0,1
4340000,378.5675,3,1,1,1,1,1,0,0,2,0,0,1
4340000,325.15,4,1,2,1,0,0,0,0,2,0,0,0
4340000,599.2049999999999,4,1,2,1,0,0,0,0,0,0,0,1
4319000,374.5728,2,1,1,1,0,1,0,0,0,0,0,0
4305000,408.76,2,1,1,1,0,0,0,0,1,0,0,1
4305000,962.444,2,1,1,1,0,0,0,0,1,1,0,1
4277000,315.86,3,1,2,1,0,1,0,0,2,1,0,1
4270000,590.8439999999999,2,1,1,1,0,0,0,0,0,0,0,0
4270000,590.8439999999999,2,1,2,1,0,0,0,0,0,0,1,0
4270000,418.05,2,1,1,1,0,0,0,1,2,0,0,0
4270000,202.0575,3,1,2,0,1,1,0,1,0,0,1,0
4270000,405.044,4,1,2,1,0,0,0,0,0,0,0,0
4270000,721.833,2,1,1,1,0,0,0,0,1,0,0,0
4235000,617.785,3,1,2,1,1,0,0,0,0,0,0,1
4235000,258.9123,3,1,1,1,0,1,0,0,0,1,0,0
4200000,510.95,3,1,2,1,0,0,0,1,0,0,1,0
4200000,468.216,3,1,2,1,0,1,0,1,0,0,1,0
4200000,543.465,2,1,1,1,1,1,0,0,2,0,0,1
4200000,242.469,4,3,2,0,0,0,0,0,0,0,0,1
4200000,274.33369999999996,3,1,2,1,0,1,0,1,0,0,1,0
4200000,255.19629999999998,4,2,2,0,0,0,0,0,0,0,0,1
4200000,409.68899999999996,2,1,1,0,0,0,0,0,1,0,1,0
4200000,371.59999999999997,4,2,2,0,0,0,0,0,0,0,0,1
4200000,215.99249999999998,3,1,2,0,0,0,0,0,0,0,0,1
4200000,427.34,3,2,2,1,0,0,0,1,1,0,0,1
4200000,338.156,3,2,2,1,0,1,0,0,0,0,1,0
4200000,538.8199999999999,3,1,1,1,0,0,1,0,2,0,0,1
4200000,650.3,3,1,1,1,0,0,0,0,3,0,0,0
4200000,378.9391,3,1,3,1,0,0,0,0,0,0,0,1
4200000,327.008,3,1,2,1,0,0,0,0,0,1,0,1
4200000,199.2705,3,1,3,1,0,0,0,0,1,1,1,0
4200000,418.05,3,1,1,1,0,1,0,0,0,0,0,0
4193000,766.425,3,1,1,1,0,1,0,0,3,0,0,1
4193000,320.505,3,1,2,1,0,0,0,0,1,0,0,1
4165000,449.63599999999997,3,1,2,1,0,0,0,0,1,0,0,1
4165000,379.032,3,1,2,1,0,0,0,0,2,0,0,1
4165000,375.8734,3,1,2,1,0,1,0,0,1,0,0,1
4130000,430.3128,4,1,2,1,0,0,0,1,0,0,0,1
4130000,556.0065,3,1,1,1,0,1,0,0,0,0,0,1
4123000,562.9739999999999,2,1,1,1,0,1,0,0,1,0,0,1
4098500,334.44,3,1,1,1,0,1,0,1,0,1,0,0
4095000,341.872,3,2,2,1,0,0,0,0,0,0,0,1
4095000,375.316,2,1,2,1,0,0,0,0,1,0,0,1
4095000,520.24,2,1,1,1,0,0,0,1,0,0,0,1
4060000,548.11,4,2,2,0,0,1,0,0,1,0,1,0
4060000,463.7568,3,2,2,1,0,0,0,0,2,0,1,0
4060000,403.186,3,1,1,1,0,0,0,0,0,0,0,1
4060000,278.7,4,1,3,1,0,1,0,1,2,0,0,1
4060000,401.328,3,1,2,1,0,0,0,0,2,1,0,0
4025000,337.227,3,2,2,1,0,0,1,0,2,0,0,1
4025000,321.43399999999997,3,2,1,1,0,1,0,1,1,0,0,0
4025000,501.65999999999997,3,1,1,1,0,0,0,0,3,0,0,1
4007500,418.05,3,1,2,0,0,1,0,1,0,0,0,1
4007500,321.43399999999997,4,1,2,1,0,0,0,1,0,0,0,1
3990000,380.89,4,1,1,0,0,1,0,0,0,0,1,0
3990000,601.992,3,1,2,0,0,0,0,1,1,0,0,1
3990000,418.05,3,2,2,0,0,1,0,1,0,0,0,1
3990000,367.88399999999996,3,1,2,1,0,0,0,0,0,0,0,0
3990000,376.245,2,1,2,1,1,1,0,0,0,1,1,0
3920000,674.454,3,2,1,1,1,1,0,0,3,0,0,0
3920000,510.95,4,1,2,1,1,1,0,0,0,0,0,1
3920000,278.7,3,1,2,1,0,0,0,0,0,0,0,1
3920000,305.64099999999996,2,1,1,1,0,0,1,0,1,0,0,0
3920000,354.5064,2,1,1,1,0,1,0,1,2,0,0,0
3920000,750.632,3,1,1,1,0,0,0,1,2,0,0,1
3920000,199.2705,4,2,1,1,0,1,0,0,0,1,1,0
3885000,351.162,2,1,2,1,1,1,0,0,0,0,0,1
3885000,295.42199999999997,4,2,2,1,0,0,0,0,0,0,0,0
3850000,492.37,5,2,2,1,0,0,0,0,0,0,0,1
3850000,295.42199999999997,2,2,1,1,0,1,0,0,2,0,0,1
3850000,664.4208,3,1,2,1,0,0,0,1,0,0,0,0
3850000,379.032,2,1,1,1,0,0,0,0,0,0,0,1
3850000,357.66499999999996,2,1,1,1,0,0,0,0,0,0,0,1
3850000,187.1935,3,1,2,1,0,1,0,0,0,1,0,1
3850000,202.1504,2,1,2,1,1,0,0,0,0,1,0,1
3836000,311.215,3,1,2,1,0,0,0,0,0,0,1,0
3815000,292.635,2,2,1,0,0,1,0,0,0,0,0,1
3780000,447.77799999999996,3,1,2,1,0,0,0,0,0,0,0,1
3780000,317.71799999999996,2,1,2,1,0,0,1,0,1,0,0,1
3780000,334.44,2,1,1,1,0,0,0,0,0,0,0,1
3780000,541.607,2,1,1,1,0,0,0,0,2,0,1,0
3780000,265.3224,3,1,3,1,0,0,0,0,0,1,0,0
3780000,780.36,2,1,1,1,0,0,0,0,1,0,0,0
3773000,766.425,3,1,1,1,0,0,0,0,2,0,0,0
3773000,234.108,5,2,1,0,0,1,0,1,1,0,0,0
3773000,643.797,4,1,2,0,0,0,0,0,1,0,0,0
3745000,323.292,2,1,1,1,0,0,0,0,0,1,0,1
3710000,334.44,3,1,1,1,0,0,0,0,1,0,1,0
3710000,375.316,2,1,1,1,0,0,0,0,0,0,0,1
3710000,559.2579999999999,3,1,1,1,0,0,0,0,0,0,0,1
3710000,376.245,2,1,1,1,0,0,0,0,0,0,0,0
3710000,332.9536,2,1,1,1,0,0,1,0,0,0,0,1
3703000,289.848,3,1,2,0,0,1,1,0,0,0,0,1
3703000,506.305,2,1,1,1,0,0,0,0,0,0,0,0
3675000,337.227,2,1,1,1,0,1,0,0,0,0,0,0
3675000,337.227,2,1,1,1,0,0,0,1,0,0,1,0
3675000,523.956,2,1,1,0,0,0,0,0,0,0,0,1
3675000,334.44,2,1,1,1,0,0,0,0,0,0,0,0
3640000,397.61199999999997,2,1,1,1,0,0,0,1,2,0,0,1
3640000,331.65299999999996,3,1,2,1,0,1,0,0,0,0,0,1
3640000,295.42199999999997,3,1,2,0,0,1,0,0,0,0,0,1
3640000,278.7,2,1,2,1,0,0,0,1,0,0,0,0
3640000,327.008,2,2,1,1,0,1,0,0,0,0,0,1
3640000,553.684,3,1,2,1,1,1,0,0,0,0,1,0
3640000,383.67699999999996,3,2,2,1,0,0,0,0,2,0,0,1
3640000,264.765,3,2,2,0,0,1,0,0,0,1,1,0
3640000,211.3475,3,1,3,1,0,0,1,1,0,1,0,1
3633000,327.008,3,1,1,1,0,0,0,0,2,1,1,0
3605000,418.05,2,1,1,1,0,0,0,0,0,0,0,1
3605000,371.59999999999997,2,1,1,1,0,0,0,0,0,1,0,1
3570000,292.635,3,1,2,1,0,1,0,0,0,0,0,0
3570000,418.05,4,2,2,1,0,1,0,0,2,0,0,0
3570000,418.05,2,1,1,0,0,0,0,0,0,0,0,0
2957500,338.156,2,1,1,1,0,0,0,0,0,0,1,0
3535000,357.66499999999996,3,1,1,1,0,0,0,0,2,0,1,0
3500000,393.89599999999996,3,1,2,1,0,0,0,1,0,0,0,1
3500000,339.085,3,1,2,1,0,0,0,0,0,0,1,0
3500000,427.34,4,1,2,1,0,0,0,0,0,0,0,1
3500000,198.3415,3,2,2,0,0,0,0,0,0,0,1,0
3500000,282.0444,3,1,2,1,0,1,0,0,0,0,0,1
3500000,370.671,3,1,2,1,0,0,0,0,0,0,0,1
3500000,689.6895999999999,3,1,1,0,0,0,0,0,0,0,1,0
3500000,323.292,3,1,1,0,0,0,0,1,0,0,1,0
3500000,334.44,6,1,2,1,0,0,0,0,1,0,1,0
3500000,338.156,2,1,1,1,0,0,0,0,1,0,0,1
3500000,548.11,2,1,1,1,0,0,0,0,1,0,0,0
3500000,289.848,3,1,2,1,0,0,0,0,1,0,1,0
3500000,682.8149999999999,2,1,1,1,0,0,0,0,1,0,0,1
3500000,326.2648,2,1,1,1,0,0,0,0,1,1,1,0
3500000,882.55,3,1,2,1,0,0,0,0,3,1,1,0
3500000,546.252,2,1,1,1,0,0,0,0,0,0,1,0
3500000,1202.4976,3,1,1,1,0,0,0,0,0,0,1,0
3493000,455.21,3,1,2,0,0,0,0,0,0,0,1,0
3465000,284.274,3,1,1,1,0,0,0,0,0,0,1,0
3465000,494.228,2,1,1,1,0,0,0,0,1,1,1,0
3465000,199.2705,3,1,3,1,0,0,0,0,0,1,0,0
3062500,371.59999999999997,2,1,1,1,0,0,0,0,0,0,1,0
3430000,295.8865,2,1,1,1,0,0,0,0,2,0,1,0
3430000,357.66499999999996,3,1,1,1,0,0,0,0,0,0,1,0
3430000,199.2705,3,1,3,1,0,0,0,0,0,1,0,0
3430000,242.469,3,1,2,1,0,1,0,0,0,1,1,0
3430000,181.155,3,2,2,1,0,1,0,0,0,1,1,0
3423000,375.316,2,1,1,1,0,0,0,0,0,0,1,0
3395000,444.5265,3,1,2,1,1,1,0,1,1,0,0,0
3395000,320.505,3,1,1,1,0,1,0,0,2,0,1,0
